gene,yao1,yao2,yao5,R,maxI
SGSM1,0.06252470946813717,0.069108042844209,0.08236174072147207,1,0.08236174072147207
C22orf31,-0.0017721604755438294,0.005325836526605919,0.030383800547878852,1,0.030383800547878852
RASL10A,-0.009817217173440865,0.009968037529075378,0.020921179774353843,1,0.020921179774353843
CABP7,0.11722099721631764,0.17659632276111342,0.3778719600247871,1,0.3778719600247871
UQCR10,-0.16683521402626772,0.02123690974779774,0.26956322319573456,1,0.26956322319573456
SEC14L2,0.022499354448979117,0.024220100663063748,0.045749489261718145,1,0.045749489261718145
SEC14L4,-0.020902513093965767,-0.005861995322167295,0.32384119308419484,1,0.32384119308419484
GAL3ST1,0.002100508336986657,0.042313278273909585,0.08441415134865364,1,0.08441415134865364
SLC35E4,0.0025552114038983136,0.01269149629162458,0.02348283304239083,1,0.02348283304239083
SLC5A1,0.014288595115058209,0.34851659075455693,0.47726473344267734,1,0.47726473344267734
SLC5A4,-0.01064043360781073,0.02054950093813087,0.03504937685346486,1,0.03504937685346486
SYN3,0.01543721016205653,0.06220742282637993,0.06497308561675835,1,0.06497308561675835
APOL6,0.03092851532906398,0.10924045182549917,0.2797224307787612,1,0.2797224307787612
APOL3,-0.0033554197935738257,0.032528612969389366,0.034779998194350986,1,0.034779998194350986
CACNG2,-3.372373702146134e-5,0.22722837496118595,0.36063243921052707,1,0.36063243921052707
CSF2RB,0.017508930464721024,0.08174417128437289,0.12287396639794072,1,0.12287396639794072
TST,0.06851458992063073,0.25717322388215624,0.4435666032944589,1,0.4435666032944589
TMPRSS6,0.1953826483922156,0.30993057660449425,0.5530263716426275,1,0.5530263716426275
CYTH4,0.033742460607340305,0.045536393307600245,0.09278480310991755,1,0.09278480310991755
MFNG,0.13069994154693348,0.1779490371976502,0.23330267619898448,1,0.23330267619898448
C22orf23,-0.0027630795452627107,0.01908094899784727,0.16434349316115826,1,0.16434349316115826
KCNJ4,0.013187057675304838,0.014080013652104727,0.14111413866642897,1,0.14111413866642897
NPTXR,0.03255777438662494,0.04255132929793457,0.11223844291617305,1,0.11223844291617305
FAM83F,0.06804890154689372,0.07419177672783794,0.07660650112447712,1,0.07660650112447712
MEI1,-0.00689132229446583,0.003206332710733316,0.0034645172896133865,1,0.0034645172896133865
SREBF2,-0.25249243623252643,0.04785020010968889,0.1779975666634575,1,0.1779975666634575
SEPTIN3,0.2947389360896259,0.3529547363403769,0.4505609864945029,1,0.4505609864945029
WBP2NL,0.0424252233239865,0.0724897607411046,0.08537473304751385,1,0.08537473304751385
PHETA2,0.008678325400420593,0.03242541681951638,0.03523636318172662,1,0.03523636318172662
CYP2D6,-0.01942010066112317,-0.0014003084032284106,0.003153423680358066,1,0.003153423680358066
SERHL2,-0.006382661705228505,7.771973751354579e-5,0.010962222996428352,1,0.010962222996428352
ATP5MGL,0.006868202360741181,0.007009232460875419,0.014042307587996817,1,0.014042307587996817
A4GALT,0.1748341270651211,0.4521625444223525,0.4789192815068113,1,0.4789192815068113
TSPO,0.025789331138041764,0.1503044392997461,0.2544198070887532,1,0.2544198070887532
SCUBE1,0.28663981475729894,0.3610632099606478,0.45880885513490094,1,0.45880885513490094
PARVG,0.01479217190538165,0.01818106379835552,0.09909599234358372,1,0.09909599234358372
PHF21B,0.38228084942071605,0.385224186409474,0.4091793766305643,1,0.4091793766305643
UPK3A,0.049553032933276064,0.22718875456420376,0.26963255660537816,1,0.26963255660537816
RIBC2,0.04636045154442895,0.07964263079715816,0.17438489706817195,1,0.17438489706817195
ZBED4,-0.10427355392960598,0.08923313660934624,0.1690350585940578,1,0.1690350585940578
CHKB,-0.08261864373021253,0.022914161375364114,0.027365000937738613,1,0.027365000937738613
MAPK8IP2,0.21758682420042713,0.2547662769344423,0.367587251265536,1,0.367587251265536
SHANK3,0.08036802366662257,0.10287267069913623,0.10498235694748644,1,0.10498235694748644
PLCXD1,-0.10591651362416424,0.05737117392844689,0.10462672443389706,1,0.10462672443389706
SHOX,-5.944968987160044e-4,0.09248633076533594,0.5081765547676744,1,0.5081765547676744
XG,0.004659328057763799,0.011565923356418647,0.025846634126663423,1,0.025846634126663423
ARSE,0.21708216343329303,0.21892861364725297,0.4173384934118334,1,0.4173384934118334
ARSF,0.046364290468734484,0.04987012469583906,0.1767819587858426,1,0.1767819587858426
ANOS1,0.15690015086889197,0.17397716237888428,0.40475745504193006,1,0.40475745504193006
WWC3,-0.1807547045004485,0.08781322221585253,0.20796484363191373,1,0.20796484363191373
FRMPD4,-0.008165480098305943,0.055904309506332114,0.06264478455451916,1,0.06264478455451916
EGFL6,0.06920935302339257,0.09385732473905858,0.5048485664953064,1,0.5048485664953064
GLRA2,0.0124105513918089,0.26903796073683317,0.33268439392415666,1,0.33268439392415666
REPS2,0.05729902734150829,0.07148686693371854,0.11947805316125411,1,0.11947805316125411
PPEF1,-0.022748429783134825,0.013987105727821034,0.2696578770584868,1,0.2696578770584868
ADGRG2,-0.010757985642220339,0.09668058476430125,0.25174745650458963,1,0.25174745650458963
MAP7D2,0.015600239971090736,0.058949684113044624,0.1417758870179473,1,0.1417758870179473
PHEX,0.0019077235441428237,0.011915495649679713,0.43710387330278583,1,0.43710387330278583
SAT1,0.20531275521401748,0.24554352699163076,0.3309006919876177,1,0.3309006919876177
ZFX,0.035778540316753316,0.036413140843895984,0.058662210546268155,1,0.058662210546268155
CXorf21,-0.009546074743710779,0.00870646077079729,0.040879678505884434,1,0.040879678505884434
DYNLT3,0.12213100938338599,0.1280781365257741,0.14406629202905952,1,0.14406629202905952
OTC,0.04692911632445487,0.41445337662976994,0.5984751294404377,1,0.5984751294404377
GPR34,0.01683780387383366,0.027365443840570065,0.07104634883512811,1,0.07104634883512811
MAOB,0.09247943986117618,0.40587823177059096,0.5741936034689158,1,0.5741936034689158
RGN,0.17857145691825366,0.3588751359272766,0.544850960235793,1,0.544850960235793
ZNF157,-0.0172507113081919,-0.005899366699438909,0.01881074996052956,1,0.01881074996052956
SYN1,-0.0017780808921142208,0.21468399128277313,0.2996765792989948,1,0.2996765792989948
CFP,0.027152738250302635,0.06508794260127242,0.08309959732573909,1,0.08309959732573909
SLC38A5,0.214900881632575,0.21544191220204287,0.2583970477411711,1,0.2583970477411711
WAS,0.017857329550997992,0.029535689658241895,0.054115662031652995,1,0.054115662031652995
SUV39H1,-0.1180260847124026,0.03994327101430313,0.04098203492483744,1,0.04098203492483744
ERAS,-0.009171654203672651,0.011306023386016535,0.011669187386020586,1,0.011669187386020586
PCSK1N,0.14096457523548095,0.29462297274175436,0.4641807069801526,1,0.4641807069801526
OTUD5,-0.10779445182925043,0.0018528973655189966,0.008735782513641344,1,0.008735782513641344
